Tanggal;USD;Ekspor_Total;Ekspor_MIGAS;Ekspor_NON MIGAS;Ekspor_Agriculture;Ekspor_Industry;Ekspor_Mining;Ekspor_Others;Impor_Total;Impor_Consumption Goods;Impor_Raw Material Support;Impor_Capital Goods
44593;14371;40978,14;1029,58;19459,49;344,3;15845,34;4298,96;0,47;16638,51;1202,65;12831,48;2604,38
44562;14381;38286,34;903,51;18239,66;380,95;15947,07;2814,34;0,81;18211,11;1579,09;13830,72;2801,3
44531;14269;44715,44;1068,01;21289,71;402,23;17273,12;4681,5;0,87;21352,02;2490,52;15625,02;3236,48
44501;14340;45690,72;1339,45;21505,91;428,43;16509,66;5906,54;0,73;19328,19;2001,45;14329,81;2996,93
44470;14199;44181,98;1064,28;21026,71;410,08;16222,1;5455,83;2,98;16293,61;1589,68;12309,67;2394,26
44440;14307;41237,58;934,77;19684,02;398,15;15790,14;4429,6;0,9;16234,15;1789,58;12095,4;2349,17
44409;14374;42886,3;1044,59;20398,56;343,41;16618,81;4480,29;0,64;16678,89;1889,17;12376,29;2413,43
44378;14491;38739,2;978,81;18390,79;306,56;14922,77;4139,66;0,61;15263,12;1627,86;11558,38;2076,88
44348;14496;37095,49;1239,29;17308,46;326,19;14266,42;3954,44;0,69;17218,46;1643,56;13029,26;2545,64
44317;14310;33816,04;940,58;15967,44;243,52;13238,2;3425,72;0,58;14234,82;1405,55;10943,87;1885,4
44287;14468;36948,27;941,72;17532,42;339,27;15008,23;3125,98;0,65;16204,33;1629,59;12380,11;2194,63
44256;14572;36796,83;951,52;17446,9;395,28;14995,95;3006,56;0,62;16787,52;1443,31;12936,33;2407,88
44228;14229;30510,8;860,59;14394,81;310,05;12254,57;2690,16;0,62;13264,97;1240,38;9871,89;2152,7
44197;14084;30600,35;883,81;14416,36;338,82;12101,24;2858,86;1,26;13329,91;1432,2;9924,14;1973,57
44166;14105;33079,11;1018,79;15520,76;433,11;13031,29;3074,63;0,53;14438,38;1716,02;10192,7;2529,66
44136;14128;30516,84;762,25;14496,17;448,03;12162,17;2647,82;0,4;12664,41;1300,9;8928,71;2434,8
44105;14690;28726,88;614,54;13748,9;420,56;11884,92;2057,42;0,54;10786,02;1035,95;7899,92;1850,15
44075;14918;27912,35;667,32;13288,86;414,82;11696,41;1844,34;0,6;11570,1;1120,76;8315,11;2134,23
44044;14554;26110,56;599,58;12455,7;342,28;10833,21;1879,2;0,59;10742,41;1193,85;7754,98;1793,58
44013;14653;27379,8;660,43;13029,47;349,61;11442,41;1897,53;0,35;10464,3;1112,23;7385,2;1966,87
43983;14302;24013,61;567,37;11439,44;281,26;9802,51;1922,86;0,17;10760,32;1408,06;7577,29;1774,97
44317;14733;20905,25;560,9;9891,73;235,6;8431,47;1785,35;0,2;8438,63;934,69;6110,26;1393,68
