Tanggal,USD,Ekspor_Total,Ekspor_MIGAS,Ekspor_NON MIGAS,Ekspor_Agriculture,Ekspor_Industry,Ekspor_Mining,Ekspor_Others,Impor_Total,Impor_Consumption Goods,Impor_Raw Material Support,Impor_Capital Goods
01/06/2020,14,302.00,24,013.61,567.37,11,439.44,281.26,9,802.51,1,922.86,0.17,10,760.32,1,408.06,7,577.29,1,774.97
01/05/2021,14,733.00,20,905.25,560.90,9,891.73,235.60,8,431.47,1,785.35,0.20,8,438.63,934.69,6,110.26,1,393.68
01/04/2020,15,157.00,24,319.65,562.08,11,597.75,283.85,9,864.60,2,010.93,0.44,12,535.23,1,214.98,9,357.06,1,963.19
01/03/2020,16,367.00,28,062.58,617.36,13,413.94,315.04,11,214.15,2,501.56,0.53,13,352.18,1,269.26,10,282.02,1,800.90
01/02/2020,14,234.00,28,084.18,805.15,13,236.94,299.11,11,273.12,2,469.54,0.32,11,548.10,881.84,8,836.93,1,829.33
01/01/2020,13,662.00,27,272.83,815.32,12,821.09,295.69,10,907.25,2,432.98,0.50,14,268.72,1,467.16,10,569.76,2,231.80
01/12/2019,13,901.00,28,857.63,1,133.28,13,295.53,369.84,11,018.62,3,039.78,0.58,14,506.78,1,651.85,10,402.95,2,451.98
01/11/2019,14,102.00,27,888.97,1,033.73,12,910.76,335.04,10,748.95,2,859.85,0.64,15,340.48,1,667.81,11,167.80,2,504.87
01/10/2019,14,008.00,29,762.91,859.95,14,021.50,339.45,11,521.65,3,019.71,0.65,14,759.08,1,436.11,10,881.07,2,441.90
01/09/2019,14,174.00,28,160.22,803.03,13,277.08,356.24,11,083.69,2,637.69,2.49,14,263.45,1,407.53,10,261.50,2,594.42
01/08/2019,14,237.00,28,523.93,842.84,13,419.12,337.86,11,394.49,2,529.08,0.54,14,169.36,1,363.84,10,329.97,2,475.55
01/07/2019,14,026.00,30,476.84,1,400.50,13,837.92,314.03,11,750.41,3,173.38,0.60,15,518.48,1,465.60,11,272.83,2,780.05
01/06/2019,14,141.00,23,526.71,714.13,11,049.22,208.55,9,175.21,2,379.06,0.54,11,495.39,1,029.77,8,736.16,1,729.46
01/05/2019,14,385.00,29,503.79,1,054.24,13,697.65,316.27,11,296.11,3,138.97,0.55,14,606.66,1,553.19,10,730.75,2,322.72
01/04/2019,14,215.00,26,136.15,688.11,12,379.96,250.79,10,050.80,2,765.86,0.63,15,399.19,1,460.22,11,570.70,2,368.27
01/03/2019,14,244.00,28,895.58,1,077.41,13,370.38,269.40,10,862.37,3,311.28,4.74,13,746.63,1,169.46,10,350.06,2,227.11
01/02/2019,14,062.00,25,577.11,1,050.78,11,737.78,233.22,9,798.45,2,753.31,3.57,12,465.07,1,027.76,9,224.29,2,213.02
01/01/2019,14,072.00,28,056.18,1,131.26,12,896.83,281.69,10,478.53,3,267.40,0.47,15,005.19,1,220.90,11,427.48,2,356.81
01/12/2018,14,481.00,28,580.18,1,706.82,12,583.27,296.65,10,270.03,3,722.76,0.65,15,364.99,1,467.09,11,220.28,2,677.62
01/11/2018,14,339.00,29,703.44,1,312.92,13,538.80,320.14,10,878.75,3,652.25,0.58,16,901.82,1,434.27,12,870.49,2,597.06
01/10/2018,15,227.00,31,818.14,1,545.32,14,363.75,316.27,11,800.28,3,791.64,0.88,17,667.62,1,502.66,13,410.41,2,754.55
01/09/2018,14,929.00,29,912.68,1,320.25,13,636.09,316.88,11,081.14,3,557.46,0.86,14,610.06,1,325.82,10,902.02,2,382.22
01/08/2018,14,711.00,31,730.25,1,423.75,14,441.37,301.79,11,913.51,3,649.37,0.46,16,818.14,1,555.54,12,633.28,2,629.32
01/07/2018,14,413.00,32,569.44,1,416.51,14,868.21,300.32,11,941.91,4,041.91,0.58,18,297.14,1,711.97,13,704.08,2,881.09
01/06/2018,14,404.00,25,883.48,1,646.70,11,295.04,199.80,8,679.94,4,061.54,0.46,11,267.89,1,008.00,8,585.92,1,673.97
01/05/2018,13,951.00,32,396.69,1,633.10,14,565.24,307.98,11,961.10,3,912.73,16.54,17,662.89,1,730.04,13,188.17,2,744.68
01/04/2018,13,877.00,28,992.47,1,178.78,13,317.46,298.54,10,827.96,3,350.28,19.45,16,162.29,1,503.08,12,088.90,2,570.31
01/03/2018,13,756.00,31,021.23,1,256.15,14,254.46,281.03,11,308.89,3,903.84,16.86,14,463.60,1,201.15,10,876.82,2,385.63
01/02/2018,13,707.00,28,264.76,1,388.75,12,743.63,233.50,10,348.89,3,546.63,3.36,14,185.50,1,378.85,10,600.29,2,206.36
